,Transaction ID,Account,Date,U-Amount,Amount,Description,Memo,Address,Type Detail,Split Type,Date Applied,Location
0,781,Bank of America - Checking Account,2023-06-30,-16.32,-21.63216831,Paypal,,,Entertainment,Single,2023-06-30,
1,784,Bank of America - Checking Account,2023-08-07,3471.35,4601.276192,Venmo Des Cashout,,,Gifts & Donations:Reimbursed Purchases,Single,2023-08-07,
2,787,Bank of America - Checking Account,2023-08-16,-100.0,-132.5500509,Venmo,,,Entertainment,Single,2023-08-16,
3,794,Bank of America - Checking Account,2023-11-28,3087.99,4093.132317,Venmo Des Cashout,,,Gifts & Donations:Reimbursed Purchases,Single,2023-11-28,
4,795,Bank of America - Checking Account,2023-11-01,377.0,499.7136919,Venmo Des Cashout,,,Gifts & Donations:Reimbursed Purchases,Single,2023-11-01,
5,796,Bank of America - Checking Account,2023-12-01,345.0,457.2976756,Venmo Des Cashout,,,Gifts & Donations:Reimbursed Purchases,Single,2023-12-01,
6,799,Bank of America - Checking Account,2023-12-20,-5000.0,-6627.502545,Firstrade Security Deposit,,,[Firstrade - Investing Account 1],Single,2023-12-20,
7,802,Bank of America - Checking Account,2024-01-25,170.0,225.3350865,Mobile Deposit,,,Other Inc,Single,2024-01-25,
8,807,Bank of America - Checking Account,2023-12-01,-300.71,-398.5912581,Venmo,,,Gifts & Donations:Reimbursed Purchases,Single,2023-12-01,
9,980,Charles Schwab - Checking Account 1,2023-01-20,-15000.0,-19882.50763,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-01-20,
10,981,Charles Schwab - Checking Account 1,2023-01-31,8.09,10.72329912,Interest Paid,,,Interest Inc,Single,2023-01-31,
11,982,Charles Schwab - Checking Account 1,2023-02-10,75786.18,100454.6202,Interactive Brok Ach,,,[Interactive Brokers - Investing Account 1],Single,2023-02-10,
12,983,Charles Schwab - Checking Account 1,2023-02-13,-20000.0,-26510.01018,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-02-13,
13,984,Charles Schwab - Checking Account 1,2023-02-21,-11000.0,-14580.5056,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-02-21,
14,985,Charles Schwab - Checking Account 1,2023-02-28,16.57,21.96354343,Interest Paid,,,Interest Inc,Single,2023-02-28,
15,986,Charles Schwab - Checking Account 1,2023-03-20,-13000.0,-17231.50662,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-03-20,
16,987,Charles Schwab - Checking Account 1,2023-03-31,19.46,25.7942399,Interest Paid,,,Interest Inc,Single,2023-03-31,
17,988,Charles Schwab - Checking Account 1,2023-04-18,-154.0,-204.1270784,Internal Revenue Service,,,Tax:Fed,Single,2023-04-18,
